"filename", "language", "Python", "HTML", "JavaScript", "sqlite3-editor-database", "XML", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\chat\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\chat\admin.py", "Python", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Jolan\Desktop\proximitylinked\chat\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\chat\migrations\0001_initial.py", "Python", 42, 0, 0, 0, 0, 1, 7, 50
"c:\Users\Jolan\Desktop\proximitylinked\chat\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\chat\models.py", "Python", 42, 0, 0, 0, 0, 1, 11, 54
"c:\Users\Jolan\Desktop\proximitylinked\chat\templates\chat\chat.html", "HTML", 0, 24, 0, 0, 0, 0, 9, 33
"c:\Users\Jolan\Desktop\proximitylinked\chat\templates\chat\index.html", "HTML", 0, 29, 0, 0, 0, 0, 6, 35
"c:\Users\Jolan\Desktop\proximitylinked\chat\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\chat\urls.py", "Python", 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Jolan\Desktop\proximitylinked\chat\views.py", "Python", 58, 0, 0, 0, 0, 3, 18, 79
"c:\Users\Jolan\Desktop\proximitylinked\config\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\config\asgi.py", "Python", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Jolan\Desktop\proximitylinked\config\settings.py", "Python", 105, 0, 0, 0, 0, 17, 52, 174
"c:\Users\Jolan\Desktop\proximitylinked\config\urls.py", "Python", 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Jolan\Desktop\proximitylinked\config\wsgi.py", "Python", 12, 0, 0, 0, 0, 0, 9, 21
"c:\Users\Jolan\Desktop\proximitylinked\db.sqlite3", "sqlite3-editor-database", 0, 0, 0, 86, 0, 0, 2, 88
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\forms.py", "Python", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\0001_initial.py", "Python", 25, 0, 0, 0, 0, 1, 7, 33
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\0002_remove_userinterest_interest_and_more.py", "Python", 21, 0, 0, 0, 0, 1, 6, 28
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\models.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\templates\friendsearch\friend_search.html", "HTML", 0, 444, 0, 0, 0, 13, 64, 521
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\templates\friendsearch\test.html", "HTML", 0, 106, 0, 0, 0, 0, 11, 117
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\templates\friendsearch\your_friends.html", "HTML", 0, 16, 0, 0, 0, 1, 4, 21
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\urls.py", "Python", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\views.py", "Python", 111, 0, 0, 0, 0, 11, 42, 164
"c:\Users\Jolan\Desktop\proximitylinked\friendsearch\wordlist.py", "Python", 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Jolan\Desktop\proximitylinked\manage.py", "Python", 19, 0, 0, 0, 0, 1, 7, 27
"c:\Users\Jolan\Desktop\proximitylinked\notifications\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\notifications\admin.py", "Python", 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Jolan\Desktop\proximitylinked\notifications\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\notifications\migrations\0001_initial.py", "Python", 27, 0, 0, 0, 0, 1, 7, 35
"c:\Users\Jolan\Desktop\proximitylinked\notifications\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\notifications\models.py", "Python", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Jolan\Desktop\proximitylinked\notifications\templates\notifications\notifications_dropdown.html", "HTML", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\Jolan\Desktop\proximitylinked\notifications\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\notifications\urls.py", "Python", 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Jolan\Desktop\proximitylinked\notifications\views.py", "Python", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Jolan\Desktop\proximitylinked\posts\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\posts\admin.py", "Python", 42, 0, 0, 0, 0, 4, 17, 63
"c:\Users\Jolan\Desktop\proximitylinked\posts\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\posts\forms.py", "Python", 36, 0, 0, 0, 0, 0, 10, 46
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0001_initial.py", "Python", 65, 0, 0, 0, 0, 1, 7, 73
"c:\Users\Jolan\Desktop\proximitylinked\posts\migrations\0002_post_title.py", "Python", 13, 0, 0, 0, 0, 1, 6, 20
